,topic_match,senti,length,sat
506,1,1.0,80,0
507,1,1.0,59,0
508,1,1.0,280,1
509,1,1.0,190,0
510,0,1.0,103,0
511,1,1.0,68,0
512,1,1.0,78,0
513,1,1.0,45,0
514,1,1.0,160,0
515,0,1.0,61,0
516,1,1.0,47,0
517,0,1.0,90,0
518,0,1.0,67,0
519,1,1.0,154,1
520,0,1.0,32,0
521,1,1.0,54,0
522,1,1.0,166,1
523,1,1.0,91,1
524,1,1.0,208,0
525,1,1.0,157,1
526,1,1.0,64,0
527,1,1.0,37,0
528,0,1.0,64,0
529,0,1.0,106,0
530,0,1.0,41,0
531,0,1.0,48,0
532,1,1.0,118,0
533,1,1.0,80,0
534,1,1.0,148,1
535,1,1.0,233,1
536,0,1.0,62,1
537,1,1.0,114,0
538,1,1.0,112,0
539,1,1.0,253,0
540,1,1.0,148,1
541,1,1.0,167,1
542,0,1.0,62,0
543,0,1.0,126,0
544,1,1.0,115,0
545,1,1.0,80,1
546,1,1.0,15,0
547,1,1.0,52,0
548,1,1.0,20,0
549,1,1.0,96,0
550,1,1.0,142,1
551,0,1.0,75,0
552,1,1.0,110,0
553,0,1.0,108,0
554,0,1.0,43,0
555,0,1.0,45,0
556,0,1.0,38,0
557,1,1.0,70,0
558,0,1.0,36,0
559,1,1.0,37,0
560,0,1.0,28,0
561,1,1.0,25,0
562,1,1.0,25,0
563,1,1.0,94,1
564,1,1.0,146,1
565,1,1.0,104,1
566,0,1.0,80,0
567,1,1.0,67,0
568,1,1.0,168,1
569,1,1.0,42,0
570,1,1.0,55,1
571,0,1.0,118,0
572,1,1.0,41,1
573,0,1.0,41,0
574,1,1.0,105,1
575,1,1.0,103,1
576,1,1.0,176,1
577,1,1.0,72,0
578,1,1.0,45,0
579,0,1.0,43,0
580,1,1.0,107,1
581,0,1.0,35,0
582,1,1.0,15,0
583,1,1.0,272,1
584,1,1.0,51,0
585,1,1.0,211,1
586,1,1.0,60,1
587,1,1.0,155,1
588,0,1.0,45,0
589,0,1.0,79,1
590,1,1.0,77,1
591,1,1.0,99,0
592,0,1.0,38,0
593,1,1.0,24,0
594,1,1.0,195,0
595,1,1.0,44,0
596,0,1.0,30,0
597,1,1.0,204,1
598,1,1.0,130,1
599,1,1.0,15,0
600,1,1.0,48,0
601,1,1.0,78,0
602,1,1.0,17,1
603,1,1.0,133,1
604,1,1.0,52,0
605,0,1.0,79,1
606,0,1.0,30,0
607,0,1.0,28,0
608,1,1.0,15,0
609,1,1.0,75,1
610,0,1.0,50,0
611,0,1.0,41,0
612,1,1.0,38,1
613,0,1.0,34,1
614,1,1.0,46,1
615,1,1.0,64,1
616,0,1.0,113,0
617,1,1.0,117,1
618,1,1.0,136,0
619,1,1.0,89,1
620,1,1.0,46,0
621,1,1.0,53,0
622,1,1.0,66,0
623,1,1.0,71,0
624,1,1.0,25,0
625,1,1.0,51,1
626,1,1.0,43,0
627,1,1.0,76,1
628,1,1.0,78,0
629,1,1.0,107,1
630,1,1.0,99,0
631,0,1.0,51,1
632,1,1.0,100,1
633,1,1.0,115,1
634,0,1.0,80,1
635,1,1.0,100,1
636,1,1.0,116,0
637,1,1.0,27,0
638,1,1.0,15,0
639,1,1.0,26,0
640,1,1.0,193,1
641,0,1.0,133,0
642,1,1.0,15,1
643,1,1.0,43,1
644,0,1.0,36,1
645,1,1.0,42,1
646,1,1.0,69,0
647,0,1.0,48,0
648,1,1.0,103,0
649,1,1.0,218,1
650,0,1.0,39,0
651,0,1.0,42,0
652,1,1.0,14,0
653,0,1.0,67,0
654,1,1.0,79,0
655,0,1.0,66,1
656,1,1.0,40,0
657,1,1.0,21,0
658,1,1.0,119,1
659,0,1.0,28,0
660,0,1.0,43,0
661,1,1.0,21,0
662,1,1.0,61,1
663,0,1.0,25,0
664,1,1.0,43,0
665,1,1.0,61,1
666,1,1.0,72,1
667,1,1.0,28,1
668,0,1.0,54,0
669,1,1.0,123,1
670,0,1.0,51,0
671,1,1.0,182,1
672,1,1.0,85,0
673,1,1.0,149,1
674,1,1.0,29,0
675,1,1.0,35,0
676,0,1.0,142,0
677,1,1.0,67,0
678,1,1.0,38,0
679,0,1.0,47,0
680,0,1.0,36,0
681,1,1.0,65,0
682,1,1.0,114,1
683,0,1.0,51,0
684,1,1.0,24,1
685,0,1.0,76,0
686,0,1.0,36,0
687,1,1.0,7,0
688,1,1.0,66,0
689,1,1.0,89,0
690,0,1.0,92,1
691,1,1.0,102,0
692,1,1.0,191,0
693,1,1.0,104,1
694,1,1.0,128,1
695,0,1.0,31,0
696,0,1.0,19,0
697,1,1.0,30,0
698,0,1.0,49,0
699,0,1.0,115,0
700,1,1.0,98,1
701,1,1.0,19,1
702,1,1.0,208,0
703,0,1.0,94,0
704,1,1.0,38,0
705,1,1.0,38,0
706,1,1.0,140,0
707,0,1.0,106,0
708,1,1.0,23,0
709,0,1.0,62,0
710,1,1.0,42,1
711,1,1.0,85,0
712,0,1.0,55,0
713,1,1.0,38,0
714,0,1.0,46,1
715,1,1.0,78,1
716,0,1.0,29,0
717,1,1.0,75,0
718,0,1.0,42,0
719,1,1.0,43,0
720,0,1.0,78,1
721,1,1.0,54,1
722,1,1.0,38,0
723,1,1.0,120,0
724,1,1.0,58,0
725,1,1.0,20,0
726,0,1.0,38,0
727,0,1.0,31,1
728,1,1.0,138,1
729,1,1.0,44,0
730,1,1.0,165,1
731,1,1.0,158,0
732,1,1.0,150,1
733,0,1.0,100,1
734,1,1.0,66,0
735,1,1.0,93,0
736,1,1.0,60,0
737,1,1.0,112,1
738,1,1.0,59,1
739,1,1.0,55,0
740,1,1.0,34,0
741,0,1.0,123,1
742,1,1.0,291,1
743,0,1.0,38,0
744,0,1.0,56,0
745,1,1.0,45,0
746,0,1.0,43,0
747,0,1.0,63,0
748,1,1.0,68,0
749,1,1.0,48,0
750,1,1.0,91,0
751,0,1.0,63,0
752,0,1.0,56,0
753,0,1.0,87,0
754,1,1.0,2,0
755,1,1.0,84,1
756,1,1.0,63,0
757,0,1.0,69,0
758,1,1.0,62,1
759,1,1.0,90,1
760,1,1.0,102,1
761,1,1.0,64,1
762,0,1.0,43,1
763,1,1.0,25,0
764,1,1.0,20,0
765,1,1.0,158,0
766,1,1.0,54,0
767,0,1.0,32,1
768,0,1.0,223,1
769,0,1.0,47,0
770,0,1.0,28,0
771,1,1.0,91,0
772,1,1.0,36,0
773,1,1.0,88,0
774,1,1.0,72,0
775,1,1.0,38,0
776,0,1.0,207,0
777,0,1.0,52,1
778,0,1.0,159,1
779,1,1.0,82,1
780,1,1.0,58,1
781,0,1.0,37,0
782,1,1.0,32,0
783,1,1.0,88,1
784,0,1.0,21,0
785,1,1.0,46,0
786,0,1.0,35,0
787,1,1.0,49,0
788,1,1.0,201,1
789,1,1.0,123,0
790,1,1.0,92,0
791,1,1.0,64,0
792,0,1.0,41,0
793,1,1.0,116,0
794,1,1.0,164,0
795,1,1.0,111,1
796,0,1.0,44,0
797,0,1.0,105,1
798,0,1.0,55,0
799,0,1.0,51,1
800,1,1.0,83,0
801,1,1.0,96,1
802,0,1.0,54,0
803,0,1.0,92,1
804,0,1.0,94,0
805,1,1.0,120,1
806,1,1.0,66,0
807,0,1.0,60,0
808,1,1.0,31,0
809,0,1.0,21,0
810,0,1.0,64,0
811,0,1.0,37,0
812,1,1.0,157,0
813,1,1.0,228,1
814,1,1.0,107,0
815,0,1.0,56,0
816,0,1.0,66,0
817,1,1.0,141,1
818,0,1.0,65,0
819,1,1.0,91,1
820,1,1.0,38,0
821,0,1.0,74,0
822,0,1.0,104,0
823,1,1.0,36,0
824,1,1.0,196,1
825,1,1.0,51,0
826,1,1.0,96,1
827,1,1.0,82,1
828,1,1.0,42,0
829,1,1.0,60,1
830,1,1.0,30,0
831,1,1.0,169,1
832,1,1.0,128,1
833,1,1.0,61,0
834,0,1.0,52,0
835,1,1.0,140,1
836,1,1.0,198,1
837,1,1.0,27,0
838,1,1.0,38,0
839,0,1.0,44,0
840,1,1.0,28,0
841,1,1.0,63,0
842,0,1.0,70,0
843,1,1.0,196,1
844,1,1.0,36,1
845,1,1.0,115,0
846,1,1.0,21,0
847,0,1.0,38,0
848,1,1.0,133,1
849,0,1.0,29,0
850,1,1.0,16,0
851,1,1.0,151,1
852,0,1.0,85,1
853,0,1.0,63,1
854,1,1.0,43,0
855,0,1.0,32,0
856,0,1.0,71,0
857,1,1.0,66,1
858,1,1.0,107,0
859,1,1.0,63,1
860,1,1.0,49,0
861,1,1.0,141,0
862,0,1.0,44,0
863,0,1.0,71,1
864,0,1.0,36,0
865,1,1.0,85,1
866,1,1.0,91,0
867,1,1.0,87,0
868,1,1.0,16,0
869,1,1.0,114,1
870,0,1.0,49,0
871,1,1.0,18,0
872,1,1.0,64,0
873,1,1.0,86,0
874,1,1.0,76,0
875,1,1.0,134,0
876,1,1.0,16,0
877,0,1.0,160,0
878,1,1.0,78,1
879,1,1.0,86,0
880,1,1.0,102,0
881,1,1.0,137,0
882,1,1.0,15,0
883,1,1.0,27,0
884,1,1.0,34,0
885,0,1.0,47,0
886,0,1.0,70,0
887,1,1.0,16,0
888,0,1.0,198,1
889,1,1.0,38,0
890,1,1.0,189,1
891,0,1.0,24,0
892,1,1.0,99,1
893,0,1.0,90,0
894,1,1.0,42,1
895,1,1.0,60,0
896,1,1.0,62,0
897,0,1.0,92,0
898,0,1.0,92,1
899,1,1.0,32,1
900,1,1.0,197,1
901,1,1.0,201,1
902,1,1.0,43,0
903,0,1.0,41,0
904,1,1.0,109,1
905,1,1.0,201,0
906,1,1.0,16,0
907,1,1.0,43,0
908,1,1.0,33,0
909,0,1.0,49,0
910,1,1.0,52,0
911,0,1.0,121,1
912,0,1.0,33,0
913,0,1.0,70,1
914,1,1.0,54,0
915,0,1.0,20,0
916,0,1.0,144,1
917,1,1.0,92,1
918,1,1.0,107,0
919,1,1.0,58,0
920,1,1.0,33,0
921,1,1.0,77,0
922,1,1.0,104,1
923,0,1.0,82,1
924,1,1.0,35,0
925,1,1.0,127,1
926,1,1.0,113,1
